address,name,deal,area,month,day,acount,rent,floor,property
2063,e편한세상두정3차,매매,59.9941,2,14,36000,0,12,중개거래
2063,e편한세상두정3차,매매,84.9959,2,15,41000,0,1,중개거래
2063,e편한세상두정3차,매매,84.9888,2,26,47300,0,22,중개거래
2063,e편한세상두정3차,매매,75.0475,3,19,44500,0,14,중개거래
2063,e편한세상두정3차,매매,59.9941,3,6,35000,0,6,중개거래
2063,e편한세상두정3차,매매,59.9941,4,21,34700,0,8,중개거래
2063,e편한세상두정3차,매매,59.9941,4,5,35000,0,11,중개거래
2063,e편한세상두정3차,매매,75.7971,5,12,33000,0,21,중개거래
2063,e편한세상두정3차,매매,59.9941,5,2,33000,0,18,직거래
2063,e편한세상두정3차,매매,84.9959,5,30,44000,0,15,중개거래
2063,e편한세상두정3차,매매,84.9959,5,30,44000,0,15,중개거래
2063,e편한세상두정3차,매매,84.9959,8,27,43000,0,20,중개거래
2063,e편한세상두정3차,매매,84.9959,8,31,41800,0,24,직거래
2063,e편한세상두정3차,매매,59.9941,8,4,32000,0,4,중개거래
2063,e편한세상두정3차,매매,59.9941,8,4,32000,0,4,직거래
2063,e편한세상두정3차,매매,59.9941,8,5,32500,0,7,중개거래
2063,e편한세상두정3차,매매,59.9941,8,5,32500,0,7,중개거래
2063,e편한세상두정3차,매매,59.9941,8,9,32000,0,5,직거래
401-1,e편한세상두정4차,매매,72.8151,1,8,30000,0,2,중개거래
401-1,e편한세상두정4차,매매,62.6313,2,14,31500,0,21,중개거래
401-1,e편한세상두정4차,매매,72.8151,2,21,32946,0,5,중개거래
401-1,e편한세상두정4차,매매,62.6313,2,21,31000,0,18,중개거래
401-1,e편한세상두정4차,매매,62.6313,2,21,29262,0,12,중개거래
401-1,e편한세상두정4차,매매,62.6689,2,23,32300,0,13,중개거래
401-1,e편한세상두정4차,매매,62.6689,2,25,32900,0,20,중개거래
401-1,e편한세상두정4차,매매,62.6313,2,28,31000,0,16,중개거래
401-1,e편한세상두정4차,매매,62.6689,3,18,29800,0,4,직거래
401-1,e편한세상두정4차,매매,72.8151,4,13,36800,0,5,중개거래
401-1,e편한세상두정4차,매매,62.6689,4,13,32800,0,15,중개거래
401-1,e편한세상두정4차,매매,62.6313,4,15,29000,0,3,중개거래
401-1,e편한세상두정4차,매매,62.6689,6,13,29000,0,2,중개거래
401-1,e편한세상두정4차,매매,62.6313,6,16,27000,0,2,중개거래
401-1,e편한세상두정4차,매매,62.6313,6,7,27000,0,4,중개거래
401-1,e편한세상두정4차,매매,62.6689,8,6,29800,0,3,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,2,14,20500,0,14,직거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,2,18,20300,0,13,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,2,5,20500,0,2,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,2,8,20000,0,13,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,3,11,20400,0,11,직거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,3,19,24200,0,9,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,3,26,20500,0,3,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,3,3,24200,0,11,직거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,4,23,24000,0,14,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,4,23,20500,0,13,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,5,14,24500,0,8,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,5,25,20500,0,10,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,6,18,26000,0,6,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,7,21,24000,0,9,직거래
1080,경남아너스빌(대아아이투빌-1),매매,59.5862,8,26,20000,0,1,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,10,14,23800,0,12,중개거래
1080,경남아너스빌(대아아이투빌-1),매매,84.7733,10,5,25500,0,9,중개거래
1078,계룡리슈빌,매매,73.9463,1,15,24500,0,10,중개거래
1078,계룡리슈빌,매매,84.8985,3,12,28500,0,3,중개거래
1078,계룡리슈빌,매매,73.9463,3,28,24500,0,11,중개거래
1078,계룡리슈빌,매매,73.9463,5,1,24900,0,5,중개거래
1078,계룡리슈빌,매매,84.8985,5,21,27600,0,8,중개거래
1078,계룡리슈빌,매매,84.8985,8,31,28200,0,9,중개거래
1078,계룡리슈빌,매매,73.9463,9,17,23500,0,5,중개거래
1078,계룡리슈빌,매매,84.8985,10,31,28200,0,9,중개거래
526-1,극동늘푸른,매매,84.9,1,10,23500,0,9,중개거래
526-1,극동늘푸른,매매,59.91,1,15,18000,0,20,중개거래
526-1,극동늘푸른,매매,59.91,1,15,18000,0,20,중개거래
526-1,극동늘푸른,매매,59.91,1,25,17500,0,3,중개거래
526-1,극동늘푸른,매매,84.9,2,11,22500,0,21,중개거래
526-1,극동늘푸른,매매,59.91,2,11,18400,0,2,중개거래
526-1,극동늘푸른,매매,59.91,2,11,15500,0,21,중개거래
526-1,극동늘푸른,매매,84.9,2,17,23000,0,10,중개거래
526-1,극동늘푸른,매매,59.91,2,21,17000,0,5,중개거래
526-1,극동늘푸른,매매,59.91,2,21,17000,0,5,중개거래
526-1,극동늘푸른,매매,84.9,2,26,22000,0,18,중개거래
526-1,극동늘푸른,매매,84.9,2,7,21000,0,12,중개거래
526-1,극동늘푸른,매매,59.91,3,10,18500,0,3,중개거래
526-1,극동늘푸른,매매,59.91,3,12,17000,0,19,중개거래
526-1,극동늘푸른,매매,84.9,3,15,20900,0,3,중개거래
526-1,극동늘푸른,매매,59.91,3,15,18800,0,3,중개거래
526-1,극동늘푸른,매매,59.91,3,17,19800,0,11,직거래
526-1,극동늘푸른,매매,84.9,3,21,22000,0,18,직거래
526-1,극동늘푸른,매매,84.9,3,26,22500,0,16,중개거래
526-1,극동늘푸른,매매,59.91,3,26,18000,0,1,중개거래
526-1,극동늘푸른,매매,59.91,3,27,20000,0,4,중개거래
526-1,극동늘푸른,매매,59.91,3,27,20000,0,3,직거래
526-1,극동늘푸른,매매,84.9,3,28,18700,0,1,중개거래
526-1,극동늘푸른,매매,84.9,3,5,19000,0,19,직거래
526-1,극동늘푸른,매매,59.91,4,1,19200,0,4,중개거래
526-1,극동늘푸른,매매,59.91,4,11,17000,0,4,중개거래
526-1,극동늘푸른,매매,59.91,4,12,19100,0,21,중개거래
526-1,극동늘푸른,매매,59.91,4,16,17500,0,6,중개거래
526-1,극동늘푸른,매매,59.91,4,18,20500,0,3,중개거래
526-1,극동늘푸른,매매,84.9,4,2,21000,0,17,중개거래
526-1,극동늘푸른,매매,59.91,4,21,17200,0,1,중개거래
526-1,극동늘푸른,매매,84.9,4,25,23500,0,11,중개거래
526-1,극동늘푸른,매매,59.91,4,26,20500,0,2,중개거래
526-1,극동늘푸른,매매,59.91,4,30,17800,0,21,중개거래
526-1,극동늘푸른,매매,59.91,4,9,20300,0,5,중개거래
526-1,극동늘푸른,매매,84.9,5,1,22000,0,17,중개거래
526-1,극동늘푸른,매매,84.9,5,14,24400,0,18,중개거래
526-1,극동늘푸른,매매,59.91,5,15,20000,0,16,중개거래
526-1,극동늘푸른,매매,84.9,5,16,21500,0,2,중개거래
526-1,극동늘푸른,매매,59.91,5,18,16000,0,15,중개거래
526-1,극동늘푸른,매매,59.91,5,21,16850,0,22,직거래
526-1,극동늘푸른,매매,59.91,5,23,16400,0,13,중개거래
526-1,극동늘푸른,매매,59.91,5,25,19000,0,11,직거래
526-1,극동늘푸른,매매,84.9,5,31,23500,0,9,중개거래
526-1,극동늘푸른,매매,84.9,5,31,21500,0,19,직거래
526-1,극동늘푸른,매매,84.9,6,4,19500,0,10,직거래
526-1,극동늘푸른,매매,59.91,7,16,17000,0,4,중개거래
526-1,극동늘푸른,매매,59.91,7,25,17800,0,17,중개거래
526-1,극동늘푸른,매매,59.91,8,31,16500,0,2,중개거래
526-1,극동늘푸른,매매,59.91,9,17,17000,0,5,중개거래
526-1,극동늘푸른,매매,59.91,9,7,17500,0,13,직거래
526-1,극동늘푸른,매매,84.9,10,1,21000,0,7,중개거래
526-1,극동늘푸른,매매,59.91,10,11,17500,0,9,중개거래
526-1,극동늘푸른,매매,59.91,10,11,16750,0,18,중개거래
526-1,극동늘푸른,매매,84.9,10,2,22850,0,10,중개거래
526-1,극동늘푸른,매매,84.9,10,20,20000,0,2,중개거래
526-1,극동늘푸른,매매,84.9,10,25,19500,0,20,중개거래
526-1,극동늘푸른,매매,84.9,10,28,19000,0,10,직거래
526-1,극동늘푸른,매매,84.9,10,5,20000,0,13,중개거래
526-1,극동늘푸른,매매,59.91,10,7,17000,0,21,중개거래
526-1,극동늘푸른,매매,84.9,10,8,21000,0,8,중개거래
530,대우2차,매매,84.48,4,19,21500,0,1,중개거래
530,대우2차,매매,84.48,4,7,24400,0,9,중개거래
530,대우2차,매매,84.48,5,14,24500,0,6,중개거래
530,대우2차,매매,84.48,7,30,20500,0,5,중개거래
530,대우2차,매매,84.48,7,5,23000,0,8,중개거래
530,대우2차,매매,84.48,7,6,22600,0,3,중개거래
530,대우2차,매매,84.48,7,9,22800,0,11,중개거래
530,대우2차,매매,84.48,8,27,22000,0,13,중개거래
530,대우2차,매매,84.48,9,23,23500,0,12,직거래
530,대우2차,매매,84.48,9,5,23800,0,13,중개거래
530,대우2차,매매,84.48,9,5,22950,0,9,중개거래
525-1,대우그린,매매,59.946,1,13,18800,0,21,중개거래
525-1,대우그린,매매,59.946,1,14,17700,0,2,중개거래
525-1,대우그린,매매,69.966,1,8,22500,0,4,중개거래
525-1,대우그린,매매,59.946,1,8,18800,0,13,중개거래
525-1,대우그린,매매,84.95,2,12,23600,0,4,중개거래
525-1,대우그린,매매,59.946,2,18,19700,0,3,중개거래
525-1,대우그린,매매,59.946,2,18,19100,0,24,중개거래
525-1,대우그린,매매,59.946,2,19,18500,0,12,중개거래
525-1,대우그린,매매,59.946,2,20,17900,0,14,직거래
525-1,대우그린,매매,84.95,2,25,24700,0,11,중개거래
525-1,대우그린,매매,84.95,2,26,26500,0,13,중개거래
525-1,대우그린,매매,84.95,2,5,24600,0,7,중개거래
525-1,대우그린,매매,59.946,3,11,19000,0,13,중개거래
525-1,대우그린,매매,59.946,3,12,20100,0,8,중개거래
525-1,대우그린,매매,59.946,3,13,16500,0,1,직거래
525-1,대우그린,매매,59.946,3,13,16500,0,1,중개거래
525-1,대우그린,매매,59.946,3,14,19250,0,16,중개거래
525-1,대우그린,매매,33.6,3,27,14000,0,7,중개거래
525-1,대우그린,매매,59.946,3,28,18800,0,6,중개거래
