address,name,deal,area,month,day,acount,floor,property,
2063,e편한세상두정3차,전세,84.9888,1,22,30000,4,중개거래,
2063,e편한세상두정3차,전세,75.7971,1,25,23000,7,중개거래,
2063,e편한세상두정3차,전세,75.7971,1,25,23000,7,중개거래,
2063,e편한세상두정3차,전세,84.9888,1,8,30000,9,중개거래,
2063,e편한세상두정3차,전세,84.9959,1,9,30000,22,중개거래,
2063,e편한세상두정3차,전세,84.9959,2,16,32000,10,중개거래,
2063,e편한세상두정3차,전세,75.7971,2,18,26000,7,중개거래,
2063,e편한세상두정3차,전세,84.9888,2,22,30000,11,중개거래,
2063,e편한세상두정3차,전세,84.9888,2,22,30000,11,중개거래,
2063,e편한세상두정3차,전세,59.9941,2,23,26000,7,중개거래,
2063,e편한세상두정3차,전세,59.9941,2,23,26000,7,중개거래,
2063,e편한세상두정3차,전세,84.9888,3,17,30000,16,중개거래,
2063,e편한세상두정3차,전세,59.9941,4,15,25000,21,중개거래,
2063,e편한세상두정3차,전세,75.7971,4,24,24500,9,중개거래,
2063,e편한세상두정3차,전세,75.7971,4,25,30000,17,중개거래,
2063,e편한세상두정3차,전세,84.9959,4,8,29000,14,중개거래,
2063,e편한세상두정3차,전세,84.9888,5,16,27300,26,중개거래,
2063,e편한세상두정3차,전세,59.9941,6,29,24000,3,직거래,
2063,e편한세상두정3차,전세,75.7971,7,26,27000,7,중개거래,
2063,e편한세상두정3차,전세,84.9888,8,13,28000,9,중개거래,
2063,e편한세상두정3차,전세,75.0475,8,30,27000,20,중개거래,
2063,e편한세상두정3차,전세,84.9888,9,16,29000,18,중개거래,
2063,e편한세상두정3차,전세,84.9959,9,3,28000,9,중개거래,
2063,e편한세상두정3차,전세,59.9941,10,11,23000,9,중개거래,
2063,e편한세상두정3차,전세,84.9959,10,23,26000,18,중개거래,
401-1,e편한세상두정4차,전세,62.6313,1,17,21000,10,중개거래,
401-1,e편한세상두정4차,전세,72.8151,2,12,20000,9,중개거래,
401-1,e편한세상두정4차,전세,62.6689,2,28,21000,4,중개거래,
401-1,e편한세상두정4차,전세,72.8151,2,7,28000,15,중개거래,
401-1,e편한세상두정4차,전세,62.6689,3,19,20000,2,중개거래,
401-1,e편한세상두정4차,전세,72.8151,3,5,24000,21,중개거래,
