id,dong,address,par_add,sub_add,name,year,station_area
1,두정동,2063,2063,0,e편한세상두정3차,2017,두정역
2,두정동,401-1,401,1,e편한세상두정4차,2018,
3,두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),2004,
4,두정동,1078,1078,0,계룡리슈빌,2004,
5,두정동,526-1,526,1,극동늘푸른,1996,
6,두정동,530,530,0,대우2차,1998,두정역
7,두정동,525-1,525,1,대우그린,1996,두정역
8,두정동,1896,1896,0,대주파크빌(101동),2005,
9,두정동,1898,1898,0,대주파크빌(102동),2005,
10,두정동,1332,1332,0,더리치빌2,2013,
11,두정동,1308,1308,0,더쉼,2013,
12,두정동,1593,1593,0,두정3푸르지오,2003,
13,두정동,666,666,0,두정4차푸르지오,2003,
14,두정동,2010,2010,0,두정5차푸르지오,2004,
15,두정동,1458,1458,0,두정동휴스빌,2014,
16,두정동,1486,1486,0,두정미소마을,2012,두정역
17,두정동,399-1,399,1,두정역범양레우스알파,2020,
18,두정동,2045,2045,0,두정역이안더센트럴,2011,
19,두정동,2056,2056,0,두정역코아루스위트,2014,
20,두정동,1466,1466,0,두정역펜타폴리스,2013,
21,두정동,2037,2037,0,두정역푸르지오,2009,두정역
22,두정동,63,63,6,두정역효성해링턴플레이스,2020,두정역
23,두정동,1479,1479,0,두정하이빌1,2014,두정역
24,두정동,1480,1480,0,두정하이빌2,2014,두정역
25,두정동,1475,1475,0,라사리아,2012,
26,두정동,1348,1348,0,라온시티,2013,
27,두정동,1430,1430,0,리베하임,2012,
28,두정동,1311,1311,0,리찌하우스,2013,
29,두정동,1318,1318,0,모던타워,2012,
30,두정동,1359,1359,0,벨라지오,2014,
31,두정동,606,606,0,부경파크빌,2003,
32,두정동,1450,1450,0,서울highvillⅠ,2013,
33,두정동,665,665,0,서해그랑블,2004,
34,두정동,1451,1451,0,석성빌,2013,
35,두정동,603,603,0,세광엔리치빌2,2003,
36,두정동,605,605,0,세광엔리치빌3,2003,
37,두정동,1408,1408,0,세종타워빌,2014,
38,두정동,1449,1449,0,센텀타워,2016,
39,두정동,1473,1473,0,스마트홈,2012,
40,두정동,1481,1481,0,아델리아,2016,
41,두정동,1464,1464,0,아크로텔천안두정,2015,
42,두정동,1315,1315,0,에프엠20,2013,
43,두정동,1373,1373,0,에프엠22,2015,
44,두정동,1474,1474,0,엠포리오,2013,
45,두정동,1477,1477,0,예일하우스,2012,
46,두정동,1365,1365,0,오렌지빌,2013,
47,두정동,1596,1596,0,우남1차,2003,두정역
48,두정동,1607,1607,0,우남2차,2003,두정역
49,두정동,1864,1864,0,우성,1996,
50,두정동,1221,1221,0,이편한세상,2004,
51,두정동,2055,2055,0,이편한세상-천안두정2차,2013,
52,두정동,527,527,0,주공그린(8단지),1996,두정역
53,두정동,581,581,0,천안두정엘에이치1단지,2019,
54,두정동,1293,1293,0,천안펜타폴리스2차,2013,
55,두정동,1303,1303,0,카리브힐타운1,2011,
56,두정동,1310,1310,0,카사보니따,2013,
57,두정동,1459,1459,0,코스모빌1,2014,
58,두정동,1478,1478,0,팔라디움,2013,
59,두정동,1338,1338,0,프라임타워,2013,
60,두정동,1283,1283,0,프라지움,2013,
61,두정동,1320,1320,0,프라지움2,2013,
62,두정동,1377,1377,0,프라지움9차,2017,
63,두정동,1327,1327,0,하이스타운,2013,
64,두정동,1328,1328,0,하이스타운프라임,2014,
65,두정동,1000,1000,0,한성스위트빌,2002,
66,두정동,1886,1886,0,한성필하우스-1,2004,
67,두정동,2035,2035,0,한성필하우스3차,2004,두정역
68,두정동,2068,2068,0,한화포레나천안두정,2022,두정역
69,두정동,1417,1417,0,해피드림3차,2016,
70,두정동,1418,1418,0,해피드림4차,2017,
71,백석동,915,915,0,그린빌1차,2002,
72,백석동,890,890,0,그린빌2,2004,
73,백석동,1178,1178,0,백석2차아이파크,2014,
74,백석동,1193,1193,0,백석더샵아파트,2016,
75,백석동,658-69,658,69,백석동펜타폴리스5차,2016,
76,백석동,1007,1007,0,백석리슈빌,2010,
77,백석동,941,941,0,백석마을아이파크,2009,
