address,name,area,floor
2063,e편한세상두정3차,84.9888,4
2063,e편한세상두정3차,75.7971,7
2063,e편한세상두정3차,75.7971,6
2063,e편한세상두정3차,59.9941,12
2063,e편한세상두정3차,84.9888,9
2063,e편한세상두정3차,84.9959,22
2063,e편한세상두정3차,84.9888,13
2063,e편한세상두정3차,84.9959,1
2063,e편한세상두정3차,84.9959,10
2063,e편한세상두정3차,84.9888,5
2063,e편한세상두정3차,84.9888,11
2063,e편한세상두정3차,59.9941,7
2063,e편한세상두정3차,84.9959,17
2063,e편한세상두정3차,84.9888,22
2063,e편한세상두정3차,84.9888,16
2063,e편한세상두정3차,75.0475,14
2063,e편한세상두정3차,84.9959,5
2063,e편한세상두정3차,59.9941,6
2063,e편한세상두정3차,59.9941,21
2063,e편한세상두정3차,59.9941,8
2063,e편한세상두정3차,75.7971,9
2063,e편한세상두정3차,75.7971,17
2063,e편한세상두정3차,59.9941,4
2063,e편한세상두정3차,59.9941,11
2063,e편한세상두정3차,84.9959,14
2063,e편한세상두정3차,75.7971,21
2063,e편한세상두정3차,59.9941,14
2063,e편한세상두정3차,84.9888,26
2063,e편한세상두정3차,84.9959,25
2063,e편한세상두정3차,59.9941,18
2063,e편한세상두정3차,75.7971,15
2063,e편한세상두정3차,84.9959,15
2063,e편한세상두정3차,59.9941,3
2063,e편한세상두정3차,84.9888,24
2063,e편한세상두정3차,75.7971,2
2063,e편한세상두정3차,59.9941,10
2063,e편한세상두정3차,75.7971,8
2063,e편한세상두정3차,84.9959,20
2063,e편한세상두정3차,75.0475,20
2063,e편한세상두정3차,84.9959,24
2063,e편한세상두정3차,59.9941,5
2063,e편한세상두정3차,84.9888,18
2063,e편한세상두정3차,84.9959,7
2063,e편한세상두정3차,84.9959,9
2063,e편한세상두정3차,84.9888,1
2063,e편한세상두정3차,59.9941,9
2063,e편한세상두정3차,84.9959,18
401-1,e편한세상두정4차,62.6313,10
401-1,e편한세상두정4차,72.8151,2
401-1,e편한세상두정4차,72.8151,9
401-1,e편한세상두정4차,62.6313,21
401-1,e편한세상두정4차,62.6313,6
401-1,e편한세상두정4차,72.8151,5
401-1,e편한세상두정4차,62.6313,18
401-1,e편한세상두정4차,62.6313,12
401-1,e편한세상두정4차,62.6689,13
401-1,e편한세상두정4차,62.6689,20
401-1,e편한세상두정4차,62.6313,16
401-1,e편한세상두정4차,62.6689,4
401-1,e편한세상두정4차,72.8151,15
401-1,e편한세상두정4차,62.6689,2
401-1,e편한세상두정4차,72.8151,21
401-1,e편한세상두정4차,62.6689,15
401-1,e편한세상두정4차,62.6313,3
401-1,e편한세상두정4차,62.6313,4
401-1,e편한세상두정4차,62.6313,2
401-1,e편한세상두정4차,72.8151,12
401-1,e편한세상두정4차,72.8151,18
401-1,e편한세상두정4차,62.6689,5
401-1,e편한세상두정4차,62.6313,22
401-1,e편한세상두정4차,62.6689,14
401-1,e편한세상두정4차,62.6689,3
401-1,e편한세상두정4차,72.8151,17
401-1,e편한세상두정4차,62.6313,11
401-1,e편한세상두정4차,62.6313,13
401-1,e편한세상두정4차,62.6313,14
1080,경남아너스빌(대아아이투빌-1),84.7733,9
1080,경남아너스빌(대아아이투빌-1),59.5862,5
1080,경남아너스빌(대아아이투빌-1),59.5862,14
1080,경남아너스빌(대아아이투빌-1),59.5862,12
1080,경남아너스빌(대아아이투빌-1),59.5862,13
1080,경남아너스빌(대아아이투빌-1),59.5862,2
1080,경남아너스빌(대아아이투빌-1),59.5862,11
1080,경남아너스빌(대아아이투빌-1),59.5862,9
1080,경남아너스빌(대아아이투빌-1),59.5862,3
1080,경남아너스빌(대아아이투빌-1),84.7733,11
1080,경남아너스빌(대아아이투빌-1),84.7733,10
