읍면동,번지,본번,부번,단지명,매매전월세구분,전용면적(㎡),계약년월,계약일,거래금액(만원),월세,층,건축년도,해제사유발생일,거래유형
두정동,2045,2045,0000,두정역이안더센트럴,전세,84.925,1,1,"        31,000",             0,5,2011,,중개거래
두정동,603,0603,0000,세광엔리치빌2,매매,84.9932,1,1,"        24,500",0,8,2003,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,월세,27.285,1,1,"         3,000",            25,7,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,매매,84.7664,1,10,"        42,000",0,21,2013,,중개거래
두정동,606,0606,0000,부경파크빌,전세,83.9919,1,10,"        24,000",             0,14,2003,,중개거래
두정동,526-1,0526,0001,극동늘푸른,매매,84.9,1,10,"        23,500",0,9,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,59.91,1,10,"        19,000",             0,20,1996,,중개거래
두정동,1864,1864,0000,우성,매매,84.855,1,10,"        18,750",0,9,1996,,직거래
두정동,525-1,0525,0001,대우그린,전세,59.946,1,10,"        17,500",             0,17,1996,,직거래
두정동,526-1,0526,0001,극동늘푸른,전세,84.9,1,10,"        16,800",             0,19,1996,,중개거래
두정동,1000,1000,0000,한성스위트빌,전세,71.0431,1,10,"        16,275",             0,12,2002,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,전세,23.975,1,10,"         6,000",             0,5,2013,,중개거래
두정동,1450,1450,0000,서울highvillⅠ,전세,20.76,1,10,"         4,500",             0,8,2013,,중개거래
두정동,1473,1473,0000,스마트홈,전세,20.1,1,10,"         4,500",             0,3,2012,,중개거래
두정동,1311,1311,0000,리찌하우스,월세,22.23,1,10,"         1,000",            33,8,2013,,중개거래
두정동,1311,1311,0000,리찌하우스,월세,22.23,1,10,           500,            38,5,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,19.47,1,10,           300,            30,11,2013,,중개거래
두정동,1315,1315,0000,에프엠20,월세,19.41,1,10,           200,            32,2,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,전세,84.8801,1,11,"        33,000",             0,8,2013,,중개거래
두정동,2035,2035,0000,한성필하우스3차,전세,84.9165,1,11,"        23,000",             0,8,2004,,중개거래
두정동,525-1,0525,0001,대우그린,전세,84.95,1,11,"        23,000",             0,8,1996,,직거래
두정동,1864,1864,0000,우성,전세,59.695,1,11,"        18,200",             0,11,1996,,중개거래
두정동,1864,1864,0000,우성,매매,59.695,1,11,"        17,500",0,10,1996,,직거래
두정동,1864,1864,0000,우성,전세,59.695,1,11,"        16,500",             0,10,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,11,"        16,500",             0,8,1996,,중개거래
두정동,1332,1332,0000,더리치빌2,전세,33.38,1,11,"         8,000",             0,5,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,매매,84.8801,1,12,"        41,200",0,7,2013,,중개거래
두정동,2037,2037,0000,두정역푸르지오,전세,150.9459,1,12,"        40,000",             0,21,2009,,중개거래
