dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,cancellation,property,station_area
두정동,2063,2063,0,e편한세상두정3차,전세,84.9888,1,22,30000,0,4,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,75.7971,1,25,23000,0,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,75.7971,1,25,23000,0,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,1,25,2000,120,6,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,1,28,1000,79,12,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,1,28,1000,79,12,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9888,1,8,30000,0,9,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9959,1,9,30000,0,22,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,2,11,2000,110,13,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,매매,59.9941,2,14,36000,0,12,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,매매,84.9959,2,15,41000,0,1,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9959,2,16,32000,0,10,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,75.7971,2,18,26000,0,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,2,21,2000,110,5,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9888,2,22,30000,0,11,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9888,2,22,30000,0,11,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,59.9941,2,23,26000,0,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,59.9941,2,23,26000,0,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9959,2,25,2000,120,17,2017,,중개거래,두정역
