dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,property,station_area
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,1,25,2000,120,6,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,1,28,1000,79,12,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,1,28,1000,79,12,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,2,11,2000,110,13,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,2,21,2000,110,5,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9959,2,25,2000,120,17,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9959,3,21,2000,120,5,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,4,14,2000,105,5,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,4,29,2000,90,4,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,5,14,1000,100,14,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9959,5,19,2000,120,25,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,5,21,2000,105,15,2017,직거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,5,7,19000,10,3,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,6,22,8144,11,3,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,6,29,2000,100,15,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,6,8,4000,100,24,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,7,15,2000,100,2,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,7,16,2000,100,6,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,8,12,2000,90,10,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,8,24,3000,100,8,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,8,24,3000,100,8,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,8,24,3000,100,8,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,9,13,2000,110,17,2017,직거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,9,16,1500,95,16,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9959,9,17,5000,100,7,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,10,1,2000,110,1,2017,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,10,19,1000,74,9,2017,중개거래,두정역
두정동,401-1,401,1,e편한세상두정4차,월세,72.8151,1,29,2000,60,2,2018,직거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,2,15,6000,60,6,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,4,24,2000,80,4,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,4,29,15000,20,2,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,5,4,2000,80,3,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,72.8151,6,18,2000,100,12,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,72.8151,7,28,3000,90,18,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,8,11,2000,80,22,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6689,8,3,2000,85,14,2018,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,10,14,2000,85,11,2018,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,1,12,3000,90,9,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,2,25,300,15,5,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,3,13,15000,30,9,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,3,25,1000,80,9,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,3,30,7000,40,10,2004,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,4,29,1000,70,11,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,4,3,2000,70,11,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,5,14,1000,80,13,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,6,24,2000,75,7,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,7,9,2000,65,8,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,7,9,2000,65,8,2004,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,8,15,5000,70,8,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,9,15,3000,70,3,2004,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,10,28,1000,72,5,2004,직거래,
두정동,1078,1078,0,계룡리슈빌,월세,84.8985,9,23,5000,90,4,2004,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,1,22,1000,70,17,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,1,25,1000,85,8,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,1,25,1000,85,8,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,1,8,1500,63,11,1996,직거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,11,1000,80,8,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,14,1000,80,2,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,2,21,2000,80,3,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,24,1000,68,2,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,26,1000,72,21,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,26,1000,68,8,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,3,12,1000,55,16,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,4,18,2000,80,21,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,4,25,1000,60,17,1996,중개거래,
